"Timestamp","Name","Sensor value"
"09/19/2019 - 21:57","Soil Bulk EC (uS/cm)","532.84"
"09/19/2019 - 21:57","Soil Pore Water EC (uS/cm)","3591.8"
"09/19/2019 - 21:57","Battery Voltage (V)","6.63"
"09/19/2019 - 22:03","Volumetric Water Content (%)","34.45"
"09/19/2019 - 22:03","Soil Temp (C)","23.64"
"09/19/2019 - 22:03","Soil Permittivity","18.84"
"09/19/2019 - 22:03","Soil Bulk EC (uS/cm)","525.51"
"09/19/2019 - 22:03","Soil Pore Water EC (uS/cm)","3580.08"
"09/19/2019 - 22:03","Battery Voltage (V)","6.63"
"09/19/2019 - 22:09","Volumetric Water Content (%)","34.31"
"09/19/2019 - 22:09","Soil Temp (C)","23.64"
"09/19/2019 - 22:09","Soil Permittivity","18.84"
"09/19/2019 - 22:09","Soil Bulk EC (uS/cm)","520.75"
"09/19/2019 - 22:09","Soil Pore Water EC (uS/cm)","3565.43"
"09/19/2019 - 22:09","Battery Voltage (V)","6.63"
"09/19/2019 - 22:16","Volumetric Water Content (%)","34.08"
"09/19/2019 - 22:16","Soil Temp (C)","23.53"
"09/19/2019 - 22:16","Soil Permittivity","18.72"
"09/19/2019 - 22:16","Soil Bulk EC (uS/cm)","520.75"
"09/19/2019 - 22:16","Soil Pore Water EC (uS/cm)","3603.52"
"09/19/2019 - 22:16","Battery Voltage (V)","6.63"
"09/19/2019 - 22:22","Volumetric Water Content (%)","34.08"
"09/19/2019 - 22:22","Soil Temp (C)","23.53"
"09/19/2019 - 22:22","Soil Permittivity","18.6"
"09/19/2019 - 22:22","Soil Bulk EC (uS/cm)","513.43"
"09/19/2019 - 22:22","Soil Pore Water EC (uS/cm)","3571.29"
"09/19/2019 - 22:22","Battery Voltage (V)","6.63"
"09/19/2019 - 22:28","Volumetric Water Content (%)","33.71"
"09/19/2019 - 22:28","Soil Temp (C)","23.4"
"09/19/2019 - 22:28","Soil Permittivity","18.36"
"09/19/2019 - 22:28","Soil Bulk EC (uS/cm)","511.23"
"09/19/2019 - 22:28","Soil Pore Water EC (uS/cm)","3609.38"
"09/19/2019 - 22:28","Battery Voltage (V)","6.63"
"09/19/2019 - 22:34","Volumetric Water Content (%)","33.6"
"09/19/2019 - 22:34","Soil Temp (C)","23.28"
"09/19/2019 - 22:34","Soil Permittivity","18.36"
"09/19/2019 - 22:34","Soil Bulk EC (uS/cm)","508.67"
"09/19/2019 - 22:34","Soil Pore Water EC (uS/cm)","3612.3"
"09/19/2019 - 22:34","Battery Voltage (V)","6.63"
"09/19/2019 - 22:40","Volumetric Water Content (%)","33.23"
"09/19/2019 - 22:40","Soil Temp (C)","23.16"
"09/19/2019 - 22:40","Soil Permittivity","18.12"
"09/19/2019 - 22:40","Soil Bulk EC (uS/cm)","507.57"
"09/19/2019 - 22:40","Soil Pore Water EC (uS/cm)","3659.18"
"09/19/2019 - 22:40","Battery Voltage (V)","6.61"
"09/19/2019 - 22:47","Volumetric Water Content (%)","33.23"
"09/19/2019 - 22:47","Soil Temp (C)","23.16"
"09/19/2019 - 22:47","Soil Permittivity","18.12"
"09/19/2019 - 22:47","Soil Bulk EC (uS/cm)","507.57"
"09/19/2019 - 22:47","Soil Pore Water EC (uS/cm)","3659.18"
"09/19/2019 - 22:47","Battery Voltage (V)","6.61"
"09/19/2019 - 22:53","Volumetric Water Content (%)","33.23"
"09/19/2019 - 22:53","Soil Temp (C)","23.16"
"09/19/2019 - 22:53","Soil Permittivity","18.12"
"09/19/2019 - 22:53","Soil Bulk EC (uS/cm)","505.37"
"09/19/2019 - 22:53","Soil Pore Water EC (uS/cm)","3644.53"
"09/19/2019 - 22:53","Battery Voltage (V)","6.61"
"09/19/2019 - 22:59","Volumetric Water Content (%)","43.33"
"09/19/2019 - 22:59","Soil Temp (C)","23.04"
"09/19/2019 - 22:59","Soil Permittivity","25.57"
"09/19/2019 - 22:59","Soil Bulk EC (uS/cm)","700.93"
"09/19/2019 - 22:59","Soil Pore Water EC (uS/cm)","3231.45"
"09/19/2019 - 22:59","Battery Voltage (V)","6.59"
"09/19/2019 - 23:05","Volumetric Water Content (%)","47.65"
"09/19/2019 - 23:05","Soil Temp (C)","22.8"
"09/19/2019 - 23:05","Soil Permittivity","29.64"
"09/19/2019 - 23:05","Soil Bulk EC (uS/cm)","823.24"
"09/19/2019 - 23:05","Soil Pore Water EC (uS/cm)","3187.5"
"09/19/2019 - 23:05","Battery Voltage (V)","6.61"
"09/19/2019 - 23:11","Volumetric Water Content (%)","44.77"
"09/19/2019 - 23:11","Soil Temp (C)","22.56"
"09/19/2019 - 23:11","Soil Permittivity","26.87"
"09/19/2019 - 23:11","Soil Bulk EC (uS/cm)","705.69"
"09/19/2019 - 23:11","Soil Pore Water EC (uS/cm)","3067.38"
"09/19/2019 - 23:11","Battery Voltage (V)","6.63"
"09/19/2019 - 23:17","Volumetric Water Content (%)","43.92"
"09/19/2019 - 23:17","Soil Temp (C)","22.32"
"09/19/2019 - 23:17","Soil Permittivity","26.05"
"09/19/2019 - 23:17","Soil Bulk EC (uS/cm)","649.29"
"09/19/2019 - 23:17","Soil Pore Water EC (uS/cm)","2935.55"
"09/19/2019 - 23:17","Battery Voltage (V)","6.61"
"09/19/2019 - 23:24","Volumetric Water Content (%)","43.08"
"09/19/2019 - 23:24","Soil Temp (C)","22.32"
"09/19/2019 - 23:24","Soil Permittivity","25.31"
"09/19/2019 - 23:24","Soil Bulk EC (uS/cm)","607.18"
"09/19/2019 - 23:24","Soil Pore Water EC (uS/cm)","2834.47"
"09/19/2019 - 23:24","Battery Voltage (V)","6.59"
"09/19/2019 - 23:30","Volumetric Water Content (%)","42.85"
"09/19/2019 - 23:30","Soil Temp (C)","22.2"
"09/19/2019 - 23:30","Soil Permittivity","25.2"
"09/19/2019 - 23:30","Soil Bulk EC (uS/cm)","581.91"
"09/19/2019 - 23:30","Soil Pore Water EC (uS/cm)","2737.79"
"09/19/2019 - 23:30","Battery Voltage (V)","6.59"
"09/19/2019 - 23:36","Volumetric Water Content (%)","42.11"
"09/19/2019 - 23:36","Soil Temp (C)","22.2"
"09/19/2019 - 23:36","Soil Permittivity","24.6"
"09/19/2019 - 23:36","Soil Bulk EC (uS/cm)","567.63"
"09/19/2019 - 23:36","Soil Pore Water EC (uS/cm)","2758.3"
"09/19/2019 - 23:36","Battery Voltage (V)","6.57"
"09/19/2019 - 23:42","Volumetric Water Content (%)","42.23"
"09/19/2019 - 23:42","Soil Temp (C)","22.2"
"09/19/2019 - 23:42","Soil Permittivity","24.6"
"09/19/2019 - 23:42","Soil Bulk EC (uS/cm)","549.68"
"09/19/2019 - 23:42","Soil Pore Water EC (uS/cm)","2660.16"
"09/19/2019 - 23:42","Battery Voltage (V)","6.59"
"09/19/2019 - 23:48","Volumetric Water Content (%)","42"
"09/19/2019 - 23:48","Soil Temp (C)","22.2"
"09/19/2019 - 23:48","Soil Permittivity","24.49"
"09/19/2019 - 23:48","Soil Bulk EC (uS/cm)","535.03"
"09/19/2019 - 23:48","Soil Pore Water EC (uS/cm)","2611.82"
"09/19/2019 - 23:48","Battery Voltage (V)","6.57"
"09/19/2019 - 23:55","Volumetric Water Content (%)","41.63"
"09/19/2019 - 23:55","Soil Temp (C)","22.32"
"09/19/2019 - 23:55","Soil Permittivity","24.12"
"09/19/2019 - 23:55","Soil Bulk EC (uS/cm)","525.51"
"09/19/2019 - 23:55","Soil Pore Water EC (uS/cm)","2608.89"
"09/19/2019 - 23:55","Battery Voltage (V)","6.61"
"09/20/2019 - 00:01","Volumetric Water Content (%)","41.77"
"09/20/2019 - 00:01","Soil Temp (C)","22.32"
"09/20/2019 - 00:01","Soil Permittivity","24.24"
"09/20/2019 - 00:01","Soil Bulk EC (uS/cm)","520.75"
"09/20/2019 - 00:01","Soil Pore Water EC (uS/cm)","2573.73"
"09/20/2019 - 00:01","Battery Voltage (V)","6.61"
"09/20/2019 - 00:07","Volumetric Water Content (%)","41.52"
"09/20/2019 - 00:07","Soil Temp (C)","22.32"
"09/20/2019 - 00:07","Soil Permittivity","24.01"
"09/20/2019 - 00:07","Soil Bulk EC (uS/cm)","513.43"
"09/20/2019 - 00:07","Soil Pore Water EC (uS/cm)","2559.08"
"09/20/2019 - 00:07","Battery Voltage (V)","6.59"
"09/20/2019 - 00:13","Volumetric Water Content (%)","41.29"
"09/20/2019 - 00:13","Soil Temp (C)","22.32"
"09/20/2019 - 00:13","Soil Permittivity","23.87"
"09/20/2019 - 00:13","Soil Bulk EC (uS/cm)","508.67"
"09/20/2019 - 00:13","Soil Pore Water EC (uS/cm)","2557.62"
"09/20/2019 - 00:13","Battery Voltage (V)","6.61"
"09/20/2019 - 00:19","Volumetric Water Content (%)","41.29"
"09/20/2019 - 00:19","Soil Temp (C)","22.32"
"09/20/2019 - 00:19","Soil Permittivity","23.76"
"09/20/2019 - 00:19","Soil Bulk EC (uS/cm)","505.37"
"09/20/2019 - 00:19","Soil Pore Water EC (uS/cm)","2550.29"
"09/20/2019 - 00:19","Battery Voltage (V)","6.61"
"09/20/2019 - 00:26","Volumetric Water Content (%)","41.04"
"09/20/2019 - 00:26","Soil Temp (C)","22.44"
"09/20/2019 - 00:26","Soil Permittivity","23.64"
"09/20/2019 - 00:26","Soil Bulk EC (uS/cm)","498.05"
"09/20/2019 - 00:26","Soil Pore Water EC (uS/cm)","2534.18"
"09/20/2019 - 00:26","Battery Voltage (V)","6.61"
"09/20/2019 - 00:32","Volumetric Water Content (%)","41.29"
"09/20/2019 - 00:32","Soil Temp (C)","22.44"
"09/20/2019 - 00:32","Soil Permittivity","23.87"
"09/20/2019 - 00:32","Soil Bulk EC (uS/cm)","493.29"
"09/20/2019 - 00:32","Soil Pore Water EC (uS/cm)","2478.52"
"09/20/2019 - 00:32","Battery Voltage (V)","6.57"
"09/20/2019 - 00:38","Volumetric Water Content (%)","41.15"
"09/20/2019 - 00:38","Soil Temp (C)","22.56"
"09/20/2019 - 00:38","Soil Permittivity","23.76"
"09/20/2019 - 00:38","Soil Bulk EC (uS/cm)","488.53"
"09/20/2019 - 00:38","Soil Pore Water EC (uS/cm)","2475.59"
"09/20/2019 - 00:38","Battery Voltage (V)","6.59"
"09/20/2019 - 00:44","Volumetric Water Content (%)","41.04"
"09/20/2019 - 00:44","Soil Temp (C)","22.56"
"09/20/2019 - 00:44","Soil Permittivity","23.64"
"09/20/2019 - 00:44","Soil Bulk EC (uS/cm)","485.96"
"09/20/2019 - 00:44","Soil Pore Water EC (uS/cm)","2472.66"
"09/20/2019 - 00:44","Battery Voltage (V)","6.57"
"09/20/2019 - 00:50","Volumetric Water Content (%)","40.92"
"09/20/2019 - 00:50","Soil Temp (C)","22.56"
"09/20/2019 - 00:50","Soil Permittivity","23.53"
"09/20/2019 - 00:50","Soil Bulk EC (uS/cm)","480.1"
"09/20/2019 - 00:50","Soil Pore Water EC (uS/cm)","2453.61"
"09/20/2019 - 00:50","Battery Voltage (V)","6.61"
"09/20/2019 - 00:57","Volumetric Water Content (%)","40.92"
"09/20/2019 - 00:57","Soil Temp (C)","22.56"
"09/20/2019 - 00:57","Soil Permittivity","23.53"
"09/20/2019 - 00:57","Soil Bulk EC (uS/cm)","480.1"
"09/20/2019 - 00:57","Soil Pore Water EC (uS/cm)","2453.61"
"09/20/2019 - 00:57","Battery Voltage (V)","6.59"
"09/20/2019 - 01:03","Volumetric Water Content (%)","40.81"
"09/20/2019 - 01:03","Soil Temp (C)","22.56"
"09/20/2019 - 01:03","Soil Permittivity","23.53"
